date,level,site
2000-03-21,,#425956101424101
2000-06-21,-0.84,#425956101424101
2000-09-21,-0.915,#425956101424101
2000-12-21,-0.98,#425956101424101
2001-03-21,-0.91,#425956101424101
2001-06-21,-0.895,#425956101424101
2001-09-21,-0.9375,#425956101424101
2001-12-21,-1.01,#425956101424101
2002-03-21,-0.98,#425956101424101
2002-06-21,-1.0475,#425956101424101
2002-09-21,-1.145,#425956101424101
2002-12-21,-1.16,#425956101424101
2003-03-21,,#425956101424101
2003-06-21,-1.16,#425956101424101
2003-09-21,-1.265,#425956101424101
2003-12-21,-1.39,#425956101424101
2004-03-21,-1.4,#425956101424101
2004-06-21,-1.46,#425956101424101
2004-09-21,-1.5275,#425956101424101
2004-12-21,-1.535,#425956101424101
2005-03-21,-1.62,#425956101424101
2005-06-21,-1.45,#425956101424101
2005-09-21,-1.46,#425956101424101
2005-12-21,-1.565,#425956101424101
2006-03-21,,#425956101424101
2006-06-21,-1.6366666666666667,#425956101424101
2006-09-21,-1.755,#425956101424101
2006-12-21,-1.785,#425956101424101
2007-03-21,-1.8,#425956101424101
2007-06-21,-1.785,#425956101424101
2007-09-21,-1.9,#425956101424101
2007-12-21,-1.89,#425956101424101
2008-03-21,-1.86,#425956101424101
2008-06-21,-1.84,#425956101424101
2008-09-21,-1.8500000000000003,#425956101424101
2008-12-21,-1.86,#425956101424101
2009-03-21,-1.83,#425956101424101
2009-06-21,-1.785,#425956101424101
2009-09-21,-1.8,#425956101424101
2009-12-21,-1.77,#425956101424101
2010-03-21,-1.77,#425956101424101
2010-06-21,-1.635,#425956101424101
2010-09-21,-1.63,#425956101424101
2010-12-21,-1.62,#425956101424101
2011-03-21,,#425956101424101
2011-06-21,,#425956101424101
2011-09-21,-1.43,#425956101424101
2011-12-21,-1.43,#425956101424101
2012-03-21,,#425956101424101
2012-06-21,-1.34,#425956101424101
2012-09-21,-1.55,#425956101424101
2012-12-21,,#425956101424101
2013-03-21,-1.65,#425956101424101
2013-06-21,-1.565,#425956101424101
2013-09-21,-1.5733333333333337,#425956101424101
2013-12-21,,#425956101424101
2014-03-21,-1.58,#425956101424101
2014-06-21,-1.55,#425956101424101
2014-09-21,,#425956101424101
2014-12-21,-1.49,#425956101424101
2015-03-21,-1.49,#425956101424101
2015-06-21,-1.32,#425956101424101
2015-09-21,-1.21,#425956101424101
2015-12-21,,#425956101424101
2016-03-21,,#425956101424101
2016-06-21,-1.0733333333333337,#425956101424101
2016-09-21,-1.2775,#425956101424101
2016-12-21,,#425956101424101
2017-03-21,,#425956101424101
2017-06-21,-1.115,#425956101424101
2017-09-21,-1.5733333333333333,#425956101424101
2017-12-21,,#425956101424101
2018-03-21,,#425956101424101
2018-06-21,-1.1549999999999998,#425956101424101
2018-09-21,-1.15,#425956101424101
2018-12-21,,#425956101424101
2019-03-21,,#425956101424101
2019-06-21,-0.975,#425956101424101
2019-09-21,-0.955,#425956101424101
2019-12-21,,#425956101424101
2020-03-21,,#425956101424101
